PatientID,FirstName,LastName,City,Age,Income
P1000,Mario,Bianchi,Genova,49.0,35630.31
P1001,Elena,Costa,Torino,66.0,27215.88
P1002,Marco,Costa,Bologna,65.0,34110.98
P1003,Paolo,Russo,Firenze,51.0,24042.67
P1004,Paolo,Rossi,Napoli,79.0,26732.52
P1005,Davide,Conti,Napoli,58.0,26564.36
P1006,Mario,Ferrari,Modena,23.0,19237.44
P1007,Marco,Greco,Milano,73.0,34382.75
P1008,Anna,Romano,Firenze,59.0,25775.38
P1009,Mario,Costa,Firenze,63.0,30112.45
P1010,Lucia,Costa,Torino,58.0,34326.72
P1011,Chiara,Bianchi,Firenze,57.0,34018.78
P1012,Elena,Russo,Firenze,24.0,35988.47
P1013,Elena,Ferrari,Torino,58.0,29113.63
P1014,Elena,Ferrari,Genova,75.0,26190.32
P1015,Elena,Rossi,Milano,39.0,29282.54
P1016,Lucia,Esposito,Bologna,61.0,14813.99
P1017,Luigi,Bianchi,Napoli,20.0,16975.99
P1018,Davide,Costa,Napoli,43.0,18095.7
P1019,Paolo,Romano,Bologna,49.0,21024.78
