PatientID,City,FirstName,Income,LastName
P1000,Genova,Mario,35630.31,Bianchi
P1001,Torino,Elena,27215.88,Costa
P1002,Bologna,Marco,34110.98,Costa
P1003,Firenze,Paolo,24042.67,Russo
P1004,Napoli,Paolo,26732.52,Rossi
P1005,Napoli,Davide,26564.36,Conti
P1006,Modena,Mario,19237.44,Ferrari
P1007,Milano,Marco,34382.75,Greco
P1008,Firenze,Anna,25775.38,Romano
P1009,Firenze,Mario,30112.45,Costa
P1010,Torino,Lucia,34326.72,Costa
P1011,Firenze,Chiara,34018.78,Bianchi
P1012,Firenze,Elena,35988.47,Russo
P1013,Torino,Elena,29113.63,Ferrari
P1014,Genova,Elena,26190.32,Ferrari
P1015,Milano,Elena,29282.54,Rossi
P1016,Bologna,Lucia,14813.99,Esposito
P1017,Napoli,Luigi,16975.99,Bianchi
P1018,Napoli,Davide,18095.7,Costa
P1019,Bologna,Paolo,21024.78,Romano
