PatientID,City,FirstName,Income,Age
P1020,Firenze,Lucia,33597.97,88.0
P1021,Bologna,Sara,21850.69,33.0
P1022,Firenze,Luigi,26596.54,37.0
P1023,Modena,Chiara,41693.05,47.0
P1024,Firenze,Elena,26793.62,89.0
P1025,Firenze,Marco,36637.64,79.0
P1026,Firenze,Paolo,21597.44,20.0
P1027,Napoli,Davide,28151.06,34.0
P1028,Torino,Lucia,21449.8,77.0
P1029,Napoli,Paolo,26948.7,22.0
P1030,Milano,Paolo,37562.77,79.0
P1031,Firenze,Anna,14454.12,38.0
P1032,Roma,Mario,33909.81,84.0
P1033,Torino,Lucia,32139.62,39.0
P1034,Roma,Davide,24652.65,49.0
P1035,Roma,Mario,16985.48,65.0
P1036,Modena,Davide,30649.17,27.0
P1037,Bologna,Davide,25234.57,58.0
P1038,Bologna,Anna,32094.09,54.0
P1039,Modena,Marco,30196.67,74.0
