PatientID,Age,City,FirstName,Income
P1020,88.0,Firenze,Lucia,33597.97
P1021,33.0,Bologna,Sara,21850.69
P1022,37.0,Firenze,Luigi,26596.54
P1023,47.0,Modena,Chiara,41693.05
P1024,89.0,Firenze,Elena,26793.62
P1025,79.0,Firenze,Marco,36637.64
P1026,20.0,Firenze,Paolo,21597.44
P1027,34.0,Napoli,Davide,28151.06
P1028,77.0,Torino,Lucia,21449.8
P1029,22.0,Napoli,Paolo,26948.7
P1030,79.0,Milano,Paolo,37562.77
P1031,38.0,Firenze,Anna,14454.12
P1032,84.0,Roma,Mario,33909.81
P1033,39.0,Torino,Lucia,32139.62
P1034,49.0,Roma,Davide,24652.65
P1035,65.0,Roma,Mario,16985.48
P1036,27.0,Modena,Davide,30649.17
P1037,58.0,Bologna,Davide,25234.57
P1038,54.0,Bologna,Anna,32094.09
P1039,74.0,Modena,Marco,30196.67
