PatientID,FirstName,Age,City,LastName
P1000,Mario,49.0,Genova,Bianchi
P1001,Elena,66.0,Torino,Costa
P1002,Marco,65.0,Bologna,Costa
P1003,Paolo,51.0,Firenze,Russo
P1004,Paolo,79.0,Napoli,Rossi
P1005,Davide,58.0,Napoli,Conti
P1006,Mario,23.0,Modena,Ferrari
P1007,Marco,73.0,Milano,Greco
P1008,Anna,59.0,Firenze,Romano
P1009,Mario,63.0,Firenze,Costa
P1010,Lucia,58.0,Torino,Costa
P1011,Chiara,57.0,Firenze,Bianchi
P1012,Elena,24.0,Firenze,Russo
P1013,Elena,58.0,Torino,Ferrari
P1014,Elena,75.0,Genova,Ferrari
P1015,Elena,39.0,Milano,Rossi
P1016,Lucia,61.0,Bologna,Esposito
P1017,Luigi,20.0,Napoli,Bianchi
P1018,Davide,43.0,Napoli,Costa
P1019,Paolo,49.0,Bologna,Romano
