PatientID,FirstName,Age,City,Income
P1020,Lucia,88.0,Firenze,33597.97
P1021,Sara,33.0,Bologna,21850.69
P1022,Luigi,37.0,Firenze,26596.54
P1023,Chiara,47.0,Modena,41693.05
P1024,Elena,89.0,Firenze,26793.62
P1025,Marco,79.0,Firenze,36637.64
P1026,Paolo,20.0,Firenze,21597.44
P1027,Davide,34.0,Napoli,28151.06
P1028,Lucia,77.0,Torino,21449.8
P1029,Paolo,22.0,Napoli,26948.7
P1030,Paolo,79.0,Milano,37562.77
P1031,Anna,38.0,Firenze,14454.12
P1032,Mario,84.0,Roma,33909.81
P1033,Lucia,39.0,Torino,32139.62
P1034,Davide,49.0,Roma,24652.65
P1035,Mario,65.0,Roma,16985.48
P1036,Davide,27.0,Modena,30649.17
P1037,Davide,58.0,Bologna,25234.57
P1038,Anna,54.0,Bologna,32094.09
P1039,Marco,74.0,Modena,30196.67
